,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,0.0,0.0,0.0,100.0,200.0,300.0,400.0,400.0,500.0,600.0,600.0,700.0,700.0,700.0,700.0,800.0,900.0,1000.0,1000.0,1000.0,1000.0,1100.0,1200.0,1300.0,1400.0,1500.0,1600.0,1600.0,1700.0,1700.0,1800.0,1900.0,1900.0,1900.0,1900.0
1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,200.0,200.0,300.0,300.0,300.0,400.0,500.0,600.0,700.0,800.0,900.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2,100.0,100.0,100.0,100.0,100.0,100.0,200.0,300.0,300.0,300.0,400.0,500.0,500.0,500.0,500.0,500.0,500.0,600.0,600.0,700.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,900.0,900.0,1000.0,1000.0,1000.0,1000.0
3,200.0,200.0,200.0,200.0,300.0,300.0,400.0,400.0,500.0,600.0,600.0,700.0,700.0,700.0,700.0,700.0,700.0,800.0,900.0,1000.0,1000.0,1100.0,1100.0,1200.0,1400.0,1400.0,1400.0,1500.0,1600.0,1700.0,1700.0,1700.0,1800.0,1800.0,1800.0
4,100.0,100.0,100.0,200.0,200.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,500.0,600.0,600.0,700.0,700.0,800.0,800.0,800.0,800.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
5,200.0,200.0,200.0,300.0,300.0,300.0,400.0,500.0,600.0,600.0,700.0,900.0,900.0,900.0,900.0,1000.0,1100.0,1200.0,1200.0,1200.0,1200.0,1300.0,1300.0,1400.0,1500.0,1600.0,1700.0,1700.0,1700.0,1800.0,1800.0,1800.0,1900.0,2000.0,2000.0
6,200.0,200.0,200.0,300.0,300.0,300.0,300.0,400.0,500.0,600.0,600.0,700.0,800.0,800.0,800.0,800.0,800.0,800.0,900.0,1000.0,1000.0,1100.0,1200.0,1300.0,1400.0,1600.0,1600.0,1600.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0
7,100.0,200.0,300.0,300.0,300.0,400.0,400.0,500.0,600.0,700.0,700.0,800.0,800.0,900.0,900.0,1000.0,1000.0,1100.0,1100.0,1200.0,1200.0,1200.0,1200.0,1300.0,1400.0,1500.0,1500.0,1600.0,1600.0,1600.0,1600.0,1700.0,1800.0,1800.0,1800.0
8,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,200.0,200.0,300.0,400.0,400.0,400.0,500.0,500.0,600.0,600.0,600.0,700.0,700.0,700.0,800.0,800.0,800.0,800.0,900.0,900.0,1000.0,1000.0,1000.0,1000.0,1100.0,1100.0,1100.0
9,100.0,200.0,300.0,300.0,300.0,400.0,500.0,600.0,700.0,700.0,800.0,900.0,1000.0,1000.0,1000.0,1000.0,1000.0,1100.0,1200.0,1200.0,1300.0,1300.0,1400.0,1500.0,1500.0,1600.0,1600.0,1600.0,1600.0,1600.0,1700.0,1700.0,1800.0,1800.0,1800.0
